ba1000,ba1001,ba1002,ba1003,ba1010,ba1011,ba1012,ba1013,ba1020,ba1021,ba1022,ba1023,ba1030,ba1031,ba1032,ba1033,ba1100,ba1101,ba1102,ba1103,ba1110,ba1111,ba1112,ba1113,ba1120,ba1121,ba1122,ba1123,ba1130,ba1131,ba1132,ba1133,ba1200,ba1201,ba1202,ba1203,ba1210,ba1211,ba1212,ba1213,ba1220,ba1221,ba1222,ba1223,ba1230,ba1231,ba1232,ba1233,ba1300,ba1301,ba1302,ba1303,ba1310,ba1311,ba1312,ba1313,ba1320,ba1321,ba1322,ba1323,ba1330,ba1331,ba1332,ba1333,ba2000,ba2001,ba2002,ba2003,ba2010,ba2011,ba2012,ba2013,ba2020,ba2021,ba2022,ba2023,ba2030,ba2031,ba2032,ba2033,ba2100,ba2101,ba2102,ba2103,ba2110,ba2111,ba2112,ba2113,ba2120,ba2121,ba2122,ba2123,ba2130,ba2131,ba2132,ba2133,ba2200,ba2201,ba2202,ba2203,ba2210,ba2211,ba2212,ba2213,ba2220,ba2221,ba2222,ba2223,ba2230,ba2231,ba2232,ba2233,ba2300,ba2301,ba2302,ba2303,ba2310,ba2311,ba2312,ba2313,ba2320,ba2321,ba2322,ba2323,ba2330,ba2331,ba2332,ba2333,ba3000,ba3001,ba3002,ba3003,ba3010,ba3011,ba3012,ba3013,ba3020,ba3021,ba3022,ba3023,ba3030,ba3031,ba3032,ba3033,ba3100,ba3101,ba3102,ba3103,ba3110,ba3111,ba3112,ba3113,ba3120,ba3121,ba3122,ba3123,ba3130,ba3131,ba3132,ba3133,ba3200,ba3201,ba3202,ba3203,ba3210,ba3211,ba3212,ba3213,ba3220,ba3221,ba3222,ba3223,ba3230,ba3231,ba3232,ba3233,ba3300,ba3301,ba3302,ba3303,ba3310,ba3311,ba3312,ba3313,ba3320,ba3321,ba3322,ba3323,ba3330,ba3331,ba3332,ba3333,si00000,si00001,si00002,si00010,si00011,si00012,si00020,si00021,si00022,si00100,si00101,si00102,si00110,si00111,si00112,si00120,si00121,si00122,si00200,si00201,si00202,si00210,si00211,si00212,si00220,si00221,si00222,si01000,si01001,si01002,si01010,si01011,si01012,si01020,si01021,si01022,si01100,si01101,si01102,si01110,si01111,si01112,si01120,si01121,si01122,si01200,si01201,si01202,si01210,si01211,si01212,si01220,si01221,si01222,si02000,si02001,si02002,si02010,si02011,si02012,si02020,si02021,si02022,si02100,si02101,si02102,si02110,si02111,si02112,si02120,si02121,si02122,si02200,si02201,si02202,si02210,si02211,si02212,si02220,si02221,si02222,su00000,su00001,su00002,su00010,su00011,su00012,su00020,su00021,su00022,su00100,su00101,su00102,su00110,su00111,su00112,su00120,su00121,su00122,su00200,su00201,su00202,su00210,su00211,su00212,su00220,su00221,su00222,su01000,su01001,su01002,su01010,su01011,su01012,su01020,su01021,su01022,su01100,su01101,su01102,su01110,su01111,su01112,su01120,su01121,su01122,su01200,su01201,su01202,su01210,su01211,su01212,su01220,su01221,su01222,su02000,su02001,su02002,su02010,su02011,su02012,su02020,su02021,su02022,su02100,su02101,su02102,su02110,su02111,su02112,su02120,su02121,su02122,su02200,su02201,su02202,su02210,su02211,su02212,su02220,su02221,su02222,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,20,-40,0,40,-20,0,-30,-10,0,30,-100,-60,-60,-85,0,10,30,-60,85,60,0,100,-30,0,0,0,-30,-30,-40,10,40,-20,20,-30,20,30,120,20,85,-40,0,40,40,40,-60,-40,0,100,-40,-20,0,0,0,-10,20,-40,30,40,30,-40,-40,-40,-100,20,40,60,0,40,-20,-20,30,-85,0,40,-30,-20,-120,0,0,0,0,0,-40,0,40,0,0,-20,0,0,0,-60,-40,-40,-40,0,0,20,-40,40,40,0,60,0,0,0,0,-20,-20,-40,0,40,0,0,-20,0,0,0,0,40,0,0,40,40,40,-40,0,0,60,0,0,0,0,0,0,0,-40,20,40,20,-40,-40,-40,-60,0,0,40,0,0,0,0,20,-40,0,0,0,0,0,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,46.10349,-21.97095,0,21.97095,-46.10349,0,-27.02028,-2.205533,0,41.03796,-90.44698,-27.28828,-5.534793,-19.82465,0,2.205533,27.02028,-27.28828,19.82465,5.534793,0,90.44698,-41.03796,0,0,0,-27.02028,40.43635,-27.23778,2.205533,9.68919,39.85195,46.10349,40.43635,-39.85195,41.03796,72.95071,-27.60649,19.82465,32.67109,0,21.97095,9.68919,27.23778,-5.534793,32.67109,0,90.44698,-49.15316,27.60649,0,0,0,-2.205533,-39.85195,-9.68919,27.02028,27.23778,-40.43635,-21.97095,-27.23778,-9.68919,-90.44698,-27.60649,49.15316,5.534793,0,-32.67109,-46.10349,39.85195,-40.43635,-19.82465,0,-32.67109,-41.03796,27.60649,-72.95071,0,0,0,0,-6.242365,-36.54123,0,36.54123,6.242365,0,25.07162,39.35853,0,39.65075,-32.02518,-41.76212,-24.37702,-95.84793,0,-39.35853,-25.07162,-41.76212,95.84793,24.37702,0,32.02518,-39.65075,0,0,0,25.07162,-46.92033,-43.23221,-39.35853,24.41953,8.686405,-6.242365,-46.92033,-8.686405,39.65075,54.39316,4.250686,95.84793,-29.56108,0,36.54123,24.41953,43.23221,-24.37702,-29.56108,0,32.02518,-15.31373,-4.250686,0,0,0,39.35853,-8.686405,-24.41953,-25.07162,43.23221,46.92033,-36.54123,-43.23221,-24.41953,-32.02518,4.250686,15.31373,24.37702,0,29.56108,6.242365,8.686405,46.92033,-95.84793,0,29.56108,-39.65075,-4.250686,-54.39316,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,31.06487,-24.61306,0,24.61306,-31.06487,0,26.78786,-17.16147,0,-28.37236,-4.425288,-96.35156,-72.36855,-71.93959,0,17.16147,-26.78786,-96.35156,71.93959,72.36855,0,4.425288,28.37236,0,0,0,26.78786,21.13973,-48.44263,17.16147,89.34439,-24.06386,31.06487,21.13973,24.06386,-28.37236,37.91016,77.39059,71.93959,60.03188,0,24.61306,89.34439,48.44263,-72.36855,60.03188,0,4.425288,26.61716,-77.39059,0,0,0,-17.16147,24.06386,-89.34439,-26.78786,48.44263,-21.13973,-24.61306,-48.44263,-89.34439,-4.425288,77.39059,-26.61716,72.36855,0,-60.03188,-31.06487,-24.06386,-21.13973,-71.93959,0,-60.03188,28.37236,-77.39059,-37.91016,0,0,0,0,14.37805,-2.260918,0,2.260918,-14.37805,0,26.28376,-35.86948,0,-16.50417,-62.35713,-28.536,-0.8761765,-81.83533,0,35.86948,-26.28376,-28.536,81.83533,0.8761765,0,62.35713,16.50417,0,0,0,26.28376,35.08865,-44.45221,35.86948,49.46059,39.57113,14.37805,35.08865,-39.57113,-16.50417,-12.04447,-3.51878,81.83533,88.42218,0,2.260918,49.46059,44.45221,-0.8761765,88.42218,0,62.35713,-68.92269,3.51878,0,0,0,-35.86948,-39.57113,-49.46059,-26.28376,44.45221,-35.08865,-2.260918,-44.45221,-49.46059,-62.35713,-3.51878,68.92269,0.8761765,0,-88.42218,-14.37805,39.57113,-35.08865,-81.83533,0,-88.42218,16.50417,3.51878,12.04447,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,45.43866,-12.76972,0,12.76972,-45.43866,0,41.89243,-37.5934,0,46.7094,-8.364345,-36.09696,-74.24006,-46.67202,0,37.5934,-41.89243,-36.09696,46.67202,74.24006,0,8.364345,-46.7094,0,0,0,41.89243,-28.26306,-90.6439,37.5934,29.54908,-18.34778,45.43866,-28.26306,18.34778,46.7094,50.4567,75.7055,46.67202,-74.63734,0,12.76972,29.54908,90.6439,-74.24006,-74.63734,0,8.364345,47.95609,-75.7055,0,0,0,-37.5934,18.34778,-29.54908,-41.89243,90.6439,28.26306,-12.76972,-90.6439,-29.54908,-8.364345,75.7055,-47.95609,74.24006,0,74.63734,-45.43866,-18.34778,28.26306,-46.67202,0,74.63734,-46.7094,-75.7055,-50.4567,0,0,0,0,-40.95759,-45.06182,0,45.06182,40.95759,0,-43.03787,-15.43601,0,8.96017,-18.35437,-54.22346,-62.36464,-65.58127,0,15.43601,43.03787,-54.22346,65.58127,62.36464,0,18.35437,-8.96017,0,0,0,-43.03787,-18.52341,-46.44876,15.43601,48.34675,28.58032,-40.95759,-18.52341,-28.58032,8.96017,-4.646863,23.55736,65.58127,-6.974924,0,45.06182,48.34675,46.44876,-62.36464,-6.974924,0,18.35437,-42.00532,-23.55736,0,0,0,-15.43601,-28.58032,-48.34675,43.03787,46.44876,18.52341,-45.06182,-46.44876,-48.34675,-18.35437,23.55736,42.00532,62.36464,0,6.974924,40.95759,28.58032,18.52341,-65.58127,0,6.974924,-8.96017,-23.55736,4.646863,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,18.20481,-5.784089,0,5.784089,-18.20481,0,33.17287,-6.150275,0,-35.29436,-25.47378,-15.05265,-15.02388,-87.13188,0,6.150275,-33.17287,-15.05265,87.13188,15.02388,0,25.47378,35.29436,0,0,0,33.17287,45.31072,-62.15339,6.150275,67.97111,10.45083,18.20481,45.31072,-10.45083,-35.29436,53.28301,97.05508,87.13188,-89.10265,0,5.784089,67.97111,62.15339,-15.02388,-89.10265,0,25.47378,2.589859,-97.05508,0,0,0,-6.150275,-10.45083,-67.97111,-33.17287,62.15339,-45.31072,-5.784089,-62.15339,-67.97111,-25.47378,97.05508,-2.589859,15.02388,0,89.10265,-18.20481,10.45083,-45.31072,-87.13188,0,89.10265,35.29436,-97.05508,-53.28301,0,0,0,0,-2.815419,-39.017,0,39.017,2.815419,0,29.5413,-48.59509,0,37.65108,-15.92431,-79.61335,-79.37808,-71.86522,0,48.59509,-29.5413,-79.61335,71.86522,79.37808,0,15.92431,-37.65108,0,0,0,29.5413,15.22146,-12.35891,48.59509,13.25106,-7.129449,-2.815419,15.22146,7.129449,37.65108,52.06834,33.62998,71.86522,-74.42236,0,39.017,13.25106,12.35891,-79.37808,-74.42236,0,15.92431,9.200163,-33.62998,0,0,0,-48.59509,7.129449,-13.25106,-29.5413,12.35891,-15.22146,-39.017,-12.35891,-13.25106,-15.92431,33.62998,-9.200163,79.37808,0,74.42236,2.815419,-7.129449,-15.22146,-71.86522,0,74.42236,-37.65108,-33.62998,-52.06834,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,17.94508,-31.86733,0,31.86733,-17.94508,0,-45.60595,-44.95796,0,-0.5630314,-74.79662,-21.92862,-97.40183,-50.21245,0,44.95796,45.60595,-21.92862,50.21245,97.40183,0,74.79662,0.5630314,0,0,0,-45.60595,28.61354,-58.64652,44.95796,28.76766,-22.61805,17.94508,28.61354,22.61805,-0.5630314,97.49146,-8.078678,50.21245,-92.95423,0,31.86733,28.76766,58.64652,-97.40183,-92.95423,0,74.79662,-88.65067,8.078678,0,0,0,-44.95796,22.61805,-28.76766,45.60595,58.64652,-28.61354,-31.86733,-58.64652,-28.76766,-74.79662,-8.078678,88.65067,97.40183,0,92.95423,-17.94508,-22.61805,-28.61354,-50.21245,0,92.95423,0.5630314,8.078678,-97.49146,0,0,0,0,-22.45134,-38.09583,0,38.09583,22.45134,0,-15.73058,0.1706183,0,6.909472,-5.476869,-68.31748,-2.042628,-95.91363,0,-0.1706183,15.73058,-68.31748,95.91363,2.042628,0,5.476869,-6.909472,0,0,0,-15.73058,-8.038038,-17.55533,-0.1706183,61.45684,-15.17624,-22.45134,-8.038038,15.17624,6.909472,90.10996,71.00777,95.91363,58.29689,0,38.09583,61.45684,17.55533,-2.042628,58.29689,0,5.476869,-28.09297,-71.00777,0,0,0,0.1706183,15.17624,-61.45684,15.73058,17.55533,8.038038,-38.09583,-17.55533,-61.45684,-5.476869,71.00777,28.09297,2.042628,0,-58.29689,22.45134,-15.17624,8.038038,-95.91363,0,-58.29689,-6.909472,-71.00777,-90.10996,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,17.94508,-31.86733,0,31.86733,-17.94508,0,-45.60595,-44.95796,0,-0.5630314,-74.79662,-21.92862,-97.40183,-50.21245,0,44.95796,45.60595,-21.92862,50.21245,97.40183,0,74.79662,0.5630314,0,0,0,-45.60595,28.61354,-58.64652,44.95796,28.76766,-22.61805,17.94508,28.61354,22.61805,-0.5630314,97.49146,-8.078678,50.21245,-92.95423,0,31.86733,28.76766,58.64652,-97.40183,-92.95423,0,74.79662,-88.65067,8.078678,0,0,0,-44.95796,22.61805,-28.76766,45.60595,58.64652,-28.61354,-31.86733,-58.64652,-28.76766,-74.79662,-8.078678,88.65067,97.40183,0,92.95423,-17.94508,-22.61805,-28.61354,-50.21245,0,92.95423,0.5630314,8.078678,-97.49146,0,0,0,0,-22.45134,-38.09583,0,38.09583,22.45134,0,-15.73058,0.1706183,0,6.909472,-5.476869,-68.31748,-2.042628,-95.91363,0,-0.1706183,15.73058,-68.31748,95.91363,2.042628,0,5.476869,-6.909472,0,0,0,-15.73058,-8.038038,-17.55533,-0.1706183,61.45684,-15.17624,-22.45134,-8.038038,15.17624,6.909472,90.10996,71.00777,95.91363,58.29689,0,38.09583,61.45684,17.55533,-2.042628,58.29689,0,5.476869,-28.09297,-71.00777,0,0,0,0.1706183,15.17624,-61.45684,15.73058,17.55533,8.038038,-38.09583,-17.55533,-61.45684,-5.476869,71.00777,28.09297,2.042628,0,-58.29689,22.45134,-15.17624,8.038038,-95.91363,0,-58.29689,-6.909472,-71.00777,-90.10996,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,-37.81593,-39.47604,0,39.47604,37.81593,0,37.65593,-35.31243,0,-3.152686,-43.95239,-72.3165,-49.32684,-75.74887,0,35.31243,-37.65593,-72.3165,75.74887,49.32684,0,43.95239,3.152686,0,0,0,37.65593,-8.279795,-2.992142,35.31243,49.62111,5.197877,-37.81593,-8.279795,-5.197877,-3.152686,88.61983,4.721271,75.74887,-28.49225,0,39.47604,49.62111,2.992142,-49.32684,-28.49225,0,43.95239,-8.374659,-4.721271,0,0,0,-35.31243,-5.197877,-49.62111,-37.65593,2.992142,8.279795,-39.47604,-2.992142,-49.62111,-43.95239,4.721271,8.374659,49.32684,0,28.49225,37.81593,5.197877,8.279795,-75.74887,0,28.49225,3.152686,-4.721271,-88.61983,0,0,0,0,-20.58036,-46.56165,0,46.56165,20.58036,0,39.32714,-22.80728,0,11.92047,-68.26671,-77.60584,-85.92165,-79.43946,0,22.80728,-39.32714,-77.60584,79.43946,85.92165,0,68.26671,-11.92047,0,0,0,39.32714,-43.04216,-72.54218,22.80728,13.30373,-12.86294,-20.58036,-43.04216,12.86294,11.92047,64.8435,70.396,79.43946,81.63357,0,46.56165,13.30373,72.54218,-85.92165,81.63357,0,68.26671,-44.96172,-70.396,0,0,0,-22.80728,12.86294,-13.30373,-39.32714,72.54218,43.04216,-46.56165,-72.54218,-13.30373,-68.26671,70.396,44.96172,85.92165,0,-81.63357,20.58036,-12.86294,43.04216,-79.43946,0,-81.63357,-11.92047,-70.396,-64.8435,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,-9.967751,-26.95691,0,26.95691,9.967751,0,9.236341,-6.406659,0,-5.678624,-44.12366,-40.96249,-62.72723,-61.21163,0,6.406659,-9.236341,-40.96249,61.21163,62.72723,0,44.12366,5.678624,0,0,0,9.236341,16.89527,-21.71734,6.406659,35.96514,47.58072,-9.967751,16.89527,-47.58072,-5.678624,81.03589,-31.98038,61.21163,62.2158,0,26.95691,35.96514,21.71734,-62.72723,62.2158,0,44.12366,-54.1786,31.98038,0,0,0,-6.406659,-47.58072,-35.96514,-9.236341,21.71734,-16.89527,-26.95691,-21.71734,-35.96514,-44.12366,-31.98038,54.1786,62.72723,0,-62.2158,9.967751,47.58072,-16.89527,-61.21163,0,-62.2158,5.678624,31.98038,-81.03589,0,0,0,0,-39.70129,-35.96843,0,35.96843,39.70129,0,29.3378,15.61048,0,20.91948,-15.06736,-71.24308,-40.25363,-65.97535,0,-15.61048,-29.3378,-71.24308,65.97535,40.25363,0,15.06736,-20.91948,0,0,0,29.3378,10.15844,-55.99126,-15.61048,87.14002,26.95108,-39.70129,10.15844,-26.95108,20.91948,-32.3521,43.30319,65.97535,-69.38582,0,35.96843,87.14002,55.99126,-40.25363,-69.38582,0,15.06736,24.63181,-43.30319,0,0,0,15.61048,-26.95108,-87.14002,-29.3378,55.99126,-10.15844,-35.96843,-55.99126,-87.14002,-15.06736,43.30319,-24.63181,40.25363,0,69.38582,39.70129,26.95108,-10.15844,-65.97535,0,69.38582,-20.91948,-43.30319,32.3521,
100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,7,-20,-20,7,-20,15,15,-20,-20,15,15,-20,7,-20,-20,7,100,7,7,100,7,-20,-20,7,7,-20,-20,7,100,7,7,100,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,0,-3,-3,0,-3,5,5,-3,-3,5,5,-3,0,-3,-3,0,75,0,0,75,0,-3,-3,0,0,-3,-3,0,75,0,0,75,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,7,15,15,7,15,-10,-10,15,15,-10,-10,15,7,15,15,7,60,7,7,60,7,15,15,7,7,15,15,7,60,7,7,60,0,0,0,0,-45.24067,-14.50337,0,14.50337,45.24067,0,-42.43335,-48.17255,0,-45.87227,-42.56454,-69.62907,-16.42612,-85.69081,0,48.17255,42.43335,-69.62907,85.69081,16.42612,0,42.56454,45.87227,0,0,0,-42.43335,13.99389,-68.45686,48.17255,12.13669,-33.4557,-45.24067,13.99389,33.4557,-45.87227,46.06717,-48.56403,85.69081,11.1066,0,14.50337,12.13669,68.45686,-16.42612,11.1066,0,42.56454,-4.432611,48.56403,0,0,0,-48.17255,33.4557,-12.13669,42.43335,68.45686,-13.99389,-14.50337,-68.45686,-12.13669,-42.56454,-48.56403,4.432611,16.42612,0,-11.1066,45.24067,-33.4557,-13.99389,-85.69081,0,-11.1066,45.87227,48.56403,-46.06717,0,0,0,0,-17.55517,-39.65809,0,39.65809,17.55517,0,29.51769,-31.43846,0,-47.28176,-93.44479,-21.15038,-66.16029,-88.1665,0,31.43846,-29.51769,-21.15038,88.1665,66.16029,0,93.44479,47.28176,0,0,0,29.51769,-10.70135,-80.10187,31.43846,58.17052,13.50888,-17.55517,-10.70135,-13.50888,-47.28176,86.15299,60.17543,88.1665,-51.85542,0,39.65809,58.17052,80.10187,-66.16029,-51.85542,0,93.44479,-68.11531,-60.17543,0,0,0,-31.43846,-13.50888,-58.17052,-29.51769,80.10187,10.70135,-39.65809,-80.10187,-58.17052,-93.44479,60.17543,68.11531,66.16029,0,51.85542,17.55517,13.50888,10.70135,-88.1665,0,51.85542,47.28176,-60.17543,-86.15299,
